Team,Nationality,Position,Age,Potential,Name
Club Tijuana ,Argentina,Defensor Central,26,Bueno,Miguel Barbieri
New England Revolution ,United States,Arquero,26,Bueno,Matt Turner
Sint-Truidense VV ,Japan,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Yuma Suzuki
KAS Eupen ,Spain,Segundo Delantero | Centrocampista Ofensivo Central,25,Bueno,Jon Bautista
Kawasaki Frontale ,Japan,Defensor Central,29,Bueno,Shogo Taniguchi
Royal Antwerp FC ,Japan,Mediocampista Derecho | Centrocampista Ofensivo Central | Delantero Centro,23,Bueno,Koji Miyoshi
Kawasaki Frontale ,Japan,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Ryota Oshima
Kashima Antlers ,Japan,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Kento Misao
Kashima Antlers ,Japan,Defensor Lateral Derecho | Mediocampista Central,32,Bueno,Ryota Nagaki
F.C. Tokyo ,Japan,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,30,Bueno,Keigo Higashi
F.C. Tokyo ,Japan,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Kento Hashimoto
Bristol City ,England,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,22,Muy Bueno,Jay Dasilva
Argentinos Juniors ,Argentina,Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,24,Bueno,Damian Batallini
Arsenal de Sarandí ,Argentina,Defensor Central,31,Bueno,Franco Sbuttoni
Atlético Tucumán ,Argentina,Mediocampista Derecho | Mediocampista Central,31,Bueno,Guillermo Acosta
Hokkaido Consadole Sapporo ,Japan,Segundo Delantero | Delantero Centro,26,Bueno,Musashi Suzuki
RSC Anderlecht ,Belgium,Defensor Lateral Izquierdo | Defensor Central,22,Bueno,Elias Cobbaut
Standard de Liège ,Cameroon,Defensor Lateral Derecho | Defensor Lateral Izquierdo,27,Bueno,Collins Fai
Colorado Rapids ,United States,Defensor Lateral Derecho,26,Bueno,Keegan Rosenberry
SD Huesca ,Spain,Defensor Lateral Derecho,24,Bueno,Miguelón
FC Utrecht ,Spain,Segundo Delantero,26,Bueno,Dalmau
RCD Mallorca ,Spain,Defensor Lateral Derecho | Defensor Lateral Izquierdo,23,Bueno,Joan Sastre
Racing Club ,Argentina,Defensor Lateral Izquierdo,26,Bueno,Alexis Soto
Brentford ,England,Mediocampista Defensivo Central | Mediocampista Central,21,Muy Bueno,Josh Dasilva
Sport-Club Freiburg ,Austria,Defensor Central,24,Bueno,Philipp Lienhart
Wellington Phoenix ,New Zealand,Arquero,28,Bueno,Stefan Marinovic
Rangers FC ,Nigeria,Mediocampista Central | Delantero Centro,24,Muy Bueno,Joe Aribo
FC Dallas ,Brazil,Mediocampista Defensivo Central,30,Bueno,Thiago Santos
U.N.A.M. ,Mexico,Defensor Lateral Derecho,23,Bueno,Alan Mozo
Toulouse Football Club ,France,Mediocampista Central,22,Bueno,Jean-Victor Makengo
Parma ,Italy,Defensor Lateral Izquierdo | Mediocampista Izquierdo,22,Muy Bueno,Giuseppe Pezzella
Club Athletico Paranaense ,Brazil,Mediocampista Defensivo Central,20,Bueno,Saberto Botelho
Ceará Sporting Club ,Brazil,Centrocampista Ofensivo Central | Delantero Centro,20,Bueno,Nascimentardo
Club Athletico Paranaense ,Brazil,Centrocampista Ofensivo Central,28,Bueno,Sandro Maceira
Fortaleza ,Brazil,Mediocampista Derecho | Centrocampista Ofensivo Central | Extremo Derecho,24,Bueno,Paulolettinho
Atlético Mineiro ,Brazil,Centrocampista Ofensivo Central,20,Bueno,Tiago Pombeira
São Paulo ,Brazil,Mediocampista Derecho | Extremo Derecho,24,Bueno,Dinei Peixo
Vasco da Gama ,Brazil,Segundo Delantero,24,Bueno,Edardynho Neto
Centro Sportivo Alagoano ,Brazil,Defensor Central,20,Bueno,Allison Sireo
Bahia ,Brazil,Defensor Lateral Izquierdo | Defensor Central,24,Bueno,Heitinho Zanon
Club Athletico Paranaense ,Brazil,Defensor Central,24,Bueno,Césario Figueirido
Goiás ,Brazil,Defensor Central,24,Bueno,Pombaxinho
Palmeiras ,Brazil,Centrocampista Ofensivo Central,32,Bueno,Sanaldo Caiado
Fortaleza ,Brazil,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,24,Bueno,Tony Muttinho
Atlético Mineiro ,Brazil,Defensor Lateral Izquierdo,20,Bueno,Luisinho Conradi
Fluminense ,Brazil,Defensor Lateral Izquierdo,20,Bueno,Wagner Orsinho
Fluminense ,Brazil,Arquero,24,Bueno,Wiliam Santinho
Santos ,Brazil,Arquero,20,Bueno,Ailton Cardenhas
Santos ,Brazil,Segundo Delantero,24,Bueno,Arthur Silbeira
Fortaleza ,Brazil,Segundo Delantero | Delantero Centro | Extremo Izquierdo,24,Bueno,Eltildo Bessa
Chapecoense ,Brazil,Mediocampista Derecho | Centrocampista Ofensivo Central,28,Bueno,Emerson Avintes
Club Athletico Paranaense ,Brazil,Defensor Lateral Derecho | Centrocampista Ofensivo Central,24,Bueno,Heltinho Melo
Bahia ,Brazil,Centrocampista Ofensivo Central,28,Bueno,Adeilson Gesser
Flamengo ,Brazil,Defensor Lateral Izquierdo,28,Bueno,Guto Milazar
Centro Sportivo Alagoano ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,20,Bueno,Alex das Freitas
Grêmio ,Brazil,Defensor Lateral Izquierdo | Mediocampista Izquierdo,28,Bueno,Alam Araújo
Cruzeiro ,Brazil,Defensor Lateral Izquierdo,24,Bueno,Heitor Gesse
Vitória Guimarães ,Brazil,Arquero,29,Bueno,Jhonatan
Sangju Sangmu FC ,Korea Republic,Segundo Delantero | Mediocampista Izquierdo | Extremo Izquierdo,28,Bueno,Moon Seon Min
Middlesbrough ,England,Defensor Lateral Derecho | Defensor Central,22,Muy Bueno,Dael Fry
UD Almería ,Spain,Mediocampista Izquierdo,24,Bueno,Lazo
Football Club de Metz ,Ivory Coast,Mediocampista Defensivo Central | Mediocampista Central,23,Muy Bueno,Victorien Angban
VfB Stuttgart ,Germany,Defensor Lateral Derecho,24,Bueno,Pascal Stenzel
Amiens SC ,Italy,Defensor Lateral Derecho | Defensor Central,24,Bueno,Arturo Calabresi
Wolfsberger AC ,Portugal,Defensor Central,29,Bueno,Miguel Vieira
Hertha BSC ,Germany,Defensor Lateral Derecho | Defensor Central,24,Bueno,Lukas Klünter
Brescia ,France,Segundo Delantero,23,Muy Bueno,Florian Ayé
Club Atlético de San Luis ,Spain,Defensor Central,26,Bueno,Unai Bilbao
FC Barcelona ,Brazil,Mediocampista Izquierdo | Centrocampista Ofensivo Central,22,Bueno,Matheus Pereira
SV Sandhausen ,Russia,Defensor Central,29,Bueno,Aleksandr Zhirov
Hertha BSC ,Germany,Segundo Delantero,24,Bueno,Pascal Köpke
FC Basel 1893 ,Switzerland,Mediocampista Izquierdo,26,Bueno,Kevin Bua
Marítimo ,Brazil,Arquero,26,Bueno,Charles
CD Palestino ,Argentina,Centrocampista Ofensivo Central | Extremo Izquierdo,28,Bueno,Jonathan Benítez
RC Deportivo ,Spain,Segundo Delantero | Mediocampista Izquierdo,28,Bueno,Borja Valle
Vélez Sarsfield ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Mauro Pittón
1. FC Union Berlin ,Germany,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Grischa Prömel
Minnesota United FC ,Finland,Mediocampista Izquierdo,27,Bueno,Robin Lod
Free Agents ,South Africa,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,26,Bueno,Thapelo Morena
Club Tijuana ,Argentina,Mediocampista Izquierdo | Mediocampista Central,25,Bueno,Alexis Castro
Charlton Athletic ,Republic of Ireland,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Josh Cullen
Kilmarnock ,Scotland,Defensor Lateral Izquierdo | Defensor Central,24,Bueno,Stuart Findlay
Aston Villa ,England,Defensor Central,22,Muy Bueno,Ezri Konsa
Amiens SC ,Belgium,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Isaac Mbenza
Deportivo Toluca ,Argentina,Segundo Delantero | Mediocampista Izquierdo,28,Bueno,Alexis Canelo
Sassuolo ,Slovakia,Mediocampista Derecho | Mediocampista Izquierdo,24,Bueno,Lukáš Haraslín
Patronato ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,31,Bueno,Damián Lemos
F.C. Tokyo ,Japan,Mediocampista Defensivo Central | Mediocampista Central,33,Bueno,Yojiro Takahagi
1. FC Heidenheim 1846 ,Austria,Mediocampista Izquierdo | Mediocampista Central,28,Bueno,Konstantin Kerschbaumer
Vitória Setúbal ,Brazil,Mediocampista Central | Centrocampista Ofensivo Central,28,Bueno,Eber Bessa
Málaga CF ,Spain,Defensor Lateral Izquierdo | Defensor Central,25,Bueno,Diego González
Atlético Nacional ,Colombia,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Baldomero Perlaza
Gallos Blancos de Querétaro ,Mexico,Arquero,28,Bueno,Gil Alcalá
Huddersfield Town ,Curacao,Mediocampista Defensivo Central | Mediocampista Izquierdo | Mediocampista Central,22,Muy Bueno,Juninho Bacuna
Club Atlético Central Córdoba ,Argentina,Defensor Central | Mediocampista Defensivo Central,28,Bueno,Jonathan Galván
FC København ,Sweden,Defensor Central,29,Bueno,Sotirios Papagiannopoulos
Kasimpasa SK ,Bosnia & Herzegovina,Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Haris Hajradinovic
Celtic ,Scotland,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,22,Muy Bueno,Greg Taylor
Colón de Santa Fe ,Uruguay,Defensor Central,31,Bueno,Rafael García
SPAL ,Algeria,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Mohamed Fares
RC Deportivo ,Spain,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,28,Bueno,Sabin Merino
Sassuolo ,Italy,Defensor Central,23,Muy Bueno,Filippo Romagna
AEK Athens ,Greece,Defensor Extremo Derecho | Defensor Lateral Derecho | Defensor Central | Extremo Derecho,29,Bueno,Michalis Bakakis
Queens Park Rangers ,Republic of Ireland,Defensor Lateral Izquierdo | Mediocampista Central,24,Bueno,Ryan Manning
Dinamo Zagreb ,Slovenia,Defensor Lateral Derecho | Mediocampista Derecho,24,Bueno,Petar Stojanovic
Aberdeen ,Scotland,Defensor Central,23,Muy Bueno,Scott McKenna
Football Club de Metz ,France,Mediocampista Central,26,Bueno,Marvin Gakpa
Ettifaq FC ,Central African Rep.,Defensor Central,29,Bueno,Cédric Yambéré
Club Atlético Grau ,Paraguay,Arquero,32,Bueno,Bernardo Medina
Nîmes Olympique ,France,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Théo Valls
Gençlerbirligi SK ,Turkey,Defensor Extremo Derecho | Defensor Lateral Derecho | Extremo Derecho,27,Bueno,Ahmet Oguz
Fulham ,France,Segundo Delantero | Extremo Derecho,25,Bueno,Aboubakar Kamara
Club Tijuana ,Colombia,Mediocampista Defensivo Central | Mediocampista Central,23,Muy Bueno,Kevin Balanta
Gil Vicente FC ,Brazil,Defensor Central,25,Bueno,Ygor Nogueira
Frosinone ,Switzerland,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Nicolas Haas
Al Ahli ,Saudi Arabia,Defensor Central,28,Bueno,Motaz Hawsawi
SV Zulte Waregem ,France,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,24,Bueno,Jean-Luc Dompé
Huddersfield Town ,Benin,Segundo Delantero,25,Bueno,Steve Mounié
Club Nacional ,Paraguay,Segundo Delantero,36,Bueno,Guillermo Beltrán
Club Atlético Banfield ,Argentina,Mediocampista Central,24,Bueno,Jorge Rodríguez
Futebol Clube de Famalicão ,Brazil,Arquero,36,Bueno,Rafael Defendi
Club Atlético Banfield ,Argentina,Mediocampista Defensivo Central,30,Bueno,Nery Leyes
SD Eibar ,Argentina,Defensor Central,28,Bueno,Esteban Burgos
Santos Laguna ,Mexico,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Ulises Rivas
Empoli ,Italy,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,28,Bueno,Leonardo Mancuso
Hamburger SV ,Germany,Arquero,25,Bueno,Julian Pollersbeck
Jagiellonia Bialystok ,Poland,Mediocampista Defensivo Central,28,Bueno,Taras Romanczuk
Unión de Santa Fe ,Uruguay,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,28,Bueno,Javier Cabrera
Wigan Athletic ,England,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,23,Bueno,Joe Williams
Pescara ,Bulgaria,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Ivaylo Chochev
Queens Park Rangers ,France,Defensor Lateral Izquierdo | Defensor Central,27,Bueno,Yoann Barbet
CD Palestino ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Agustín Farías
Santa Clara ,Portugal,Defensor Central,30,Bueno,João Afonso
Denizlispor ,Turkey,Mediocampista Central | Centrocampista Ofensivo Central,25,Bueno,Recep Niyaz
Hamburger SV ,Germany,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Gideon Jung
MKE Ankaragücü ,Turkey,Mediocampista Derecho,24,Bueno,Orkan Çinar
Guaraní (Paraguay) ,Paraguay,Defensor Central,30,Bueno,Rolando García Guerreño
Stade Brestois 29 ,France,Segundo Delantero,26,Bueno,Alexandre Mendy
Unión de Santa Fe ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,23,Bueno,Emanuel Cecchini
Spartak Moscow ,Russia,Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Reziuan Mirzov
Kayserispor ,Turkey,Defensor Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Emre Tasdemir
Club América ,Argentina,Defensor Central,31,Bueno,Emanuel Aguilera
Club Atlético Huracán ,Argentina,Defensor Lateral Derecho,27,Bueno,Gonzalo Bettini
Al Ittihad ,Tunisia,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,29,Bueno,Anice Badri
Çaykur Rizespor ,Turkey,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,24,Bueno,Ogulcan Çaglayan
Free Agents ,Hungary,Defensor Central,27,Bueno,Ádám Lang
BSC Young Boys ,Switzerland,Defensor Lateral Izquierdo | Mediocampista Izquierdo,24,Bueno,Ulisses Garcia
New England Revolution ,Ecuador,Mediocampista Derecho | Mediocampista Izquierdo,29,Bueno,Cristian Penilla
Kasimpasa SK ,Turkey,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Aytaç Kara
SC Heerenveen ,Netherlands,Arquero,28,Bueno,Warner Hahn
Royal Antwerp FC ,Belgium,Mediocampista Derecho | Mediocampista Izquierdo,23,Bueno,Benson Manuel
1. FC Köln ,Germany,Defensor Lateral Derecho | Defensor Central,25,Bueno,Benno Schmitz
Benevento ,Colombia,Mediocampista Izquierdo | Mediocampista Central,23,Bueno,Andres Tello
SC Paderborn 07 ,Germany,Arquero,26,Bueno,Leopold Zingerle
Free Agents ,Egypt,Centrocampista Ofensivo Central | Extremo Derecho,24,Bueno,Zizo
1. FC Heidenheim 1846 ,Germany,Defensor Central,27,Bueno,Oliver Hüsing
Blackburn Rovers ,England,Defensor Central,22,Muy Bueno,Tosin Adarabioyo
Heart of Midlothian ,Scotland,Defensor Central,25,Bueno,Craig Halkett
Sporting Charleroi ,Angola,Defensor Lateral Izquierdo | Mediocampista Izquierdo,25,Bueno,Núrio
Swansea City ,Scotland,Mediocampista Defensivo Central | Mediocampista Central,26,Bueno,Jay Fulton
Jeonbuk Hyundai Motors ,Korea Republic,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Son Jun Ho
Wolfsberger AC ,Serbia,Mediocampista Defensivo Central | Mediocampista Derecho | Mediocampista Central,28,Bueno,Miloš Jojic
Gazisehir Gaziantep Futbol Kulübü ,Ghana,Segundo Delantero | Mediocampista Izquierdo,26,Bueno,Patrick Twumasi
D.C. United ,United States,Defensor Central,29,Bueno,Steve Birnbaum
Houston Dynamo ,Argentina,Defensor Central,27,Bueno,Víctor Cabrera
Fotbal Club Voluntari ,Brazil,Centrocampista Ofensivo Central | Extremo Derecho,34,Bueno,Eric
América de Cali ,Colombia,Mediocampista Central | Centrocampista Ofensivo Central,29,Bueno,Yesus Cabrera
SV Zulte Waregem ,Mexico,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,24,Bueno,Omar Govea
Chiavari ,Italy,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,Luca Mazzitelli
Racing Club de Lens ,France,Defensor Lateral Derecho | Defensor Central,27,Bueno,Jonathan Gradit
Queens Park Rangers ,England,Segundo Delantero,28,Bueno,Jordan Hugill
LDU Quito ,Ecuador,Centrocampista Ofensivo Central,26,Bueno,Junior Sornoza
FC Paços de Ferreira ,Brazil,Segundo Delantero,26,Bueno,Douglas Tanque
Perugia ,Italy,Segundo Delantero,33,Bueno,Federico Melchiorri
Cagliari ,Italy,Defensor Lateral Derecho | Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Federico Mattiello
Extremadura UD ,Spain,Segundo Delantero,27,Bueno,Alex Alegría
Denizlispor ,Morocco,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,31,Bueno,Ismaïl Aissati
Gençlerbirligi SK ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Fabrício Baiano
Charlton Athletic ,England,Arquero,25,Bueno,Dillon Phillips
Club Atlético Talleres ,Italy,Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,José Mauri
Atlético Nacional ,Colombia,Defensor Central,28,Bueno,Geisson Perea
Sampdoria ,Italy,Defensor Lateral Derecho | Defensor Central,26,Bueno,Alex Ferrari
UD Las Palmas ,Spain,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,29,Bueno,Tana
Nagoya Grampus ,Brazil,Segundo Delantero | Mediocampista Derecho | Delantero Centro,27,Bueno,Gabriel Xavier
Club Brugge KV ,United States,Arquero,25,Bueno,Ethan Horvath
Santa Clara ,Brazil,Segundo Delantero | Extremo Izquierdo,24,Bueno,Carlos Júnior
Club Atlético Huracán ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,Joaquín Arzura
Free Agents ,Czech Republic,Defensor Central,25,Bueno,Stefan Simic
Rosenborg BK ,Norway,Defensor Lateral Izquierdo,25,Bueno,Birger Meling
Vélez Sarsfield ,Chile,Mediocampista Defensivo Central | Mediocampista Derecho | Mediocampista Central,23,Bueno,Pablo Galdames
Atlético Nacional ,Colombia,Defensor Lateral Derecho | Defensor Central,27,Bueno,Helibelton Palacios
CD Cobresal ,Chile,Defensor Central,29,Bueno,Sebastián Silva
Universidad Católica ,Chile,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,29,Bueno,César Pinares
CS Emelec ,Colombia,Mediocampista Derecho | Mediocampista Izquierdo,25,Bueno,Alexis Zapata
Sheffield Wednesday ,England,Defensor Lateral Derecho | Defensor Central,25,Bueno,Dominic Iorfa
Suwon Samsung Bluewings ,Korea Republic,Defensor Lateral Izquierdo | Mediocampista Izquierdo | Centrocampista Ofensivo Central,30,Bueno,Kim Min Woo
Chamois Niortais Football Club ,Benin,Arquero,26,Bueno,Saturnin Allagbé
Colo-Colo ,Chile,Mediocampista Defensivo Central | Mediocampista Central,27,Bueno,César Fuentes
Club Tijuana ,Mexico,Arquero,26,Bueno,Gibrán Lajud
Urawa Red Diamonds ,Japan,Arquero,34,Bueno,Shusaku Nishikawa
Vitória Setúbal ,Brazil,Defensor Central,26,Bueno,Jubal
KAS Eupen ,Iran,Mediocampista Defensivo Central | Mediocampista Central,32,Bueno,Omid Ebrahimi
Club Atlas ,Mexico,Defensor Lateral Derecho,26,Bueno,Javier Abella
Alanyaspor ,Turkey,Mediocampista Central | Centrocampista Ofensivo Central,26,Bueno,Salih Uçan
FC Cincinnati ,Costa Rica,Defensor Central,32,Bueno,Kendall Waston
AEK Athens ,Greece,Defensor Central,27,Bueno,Marios Oikonomou
Millwall ,England,Defensor Central,25,Bueno,Jake Cooper
Fortuna Düsseldorf ,Germany,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,26,Bueno,Jean Zimmer
Pachuca ,Mexico,Defensor Lateral Izquierdo,30,Bueno,Emmanuel García
1. FSV Mainz 05 ,Austria,Defensor Extremo Derecho | Defensor Lateral Derecho | Mediocampista Derecho | Extremo Derecho,26,Bueno,Phillipp Mwene
Vissel Kobe ,Brazil,Defensor Central,28,Bueno,Dankler
Boavista FC ,Senegal,Mediocampista Defensivo Central,35,Bueno,Idris
Arsenal de Sarandí ,Argentina,Mediocampista Defensivo Central,31,Bueno,Emiliano Méndez
Celtic ,Belgium,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,25,Bueno,Boli Bolingoli
Fútbol Club Juárez ,Paraguay,Mediocampista Derecho | Centrocampista Ofensivo Central,31,Bueno,William Mendieta
CD Tondela ,Portugal,Defensor Lateral Izquierdo,29,Bueno,Filipe Ferreira
CA Osasuna ,Spain,Defensor Central,27,Bueno,Unai García
TSG 1899 Hoffenheim ,Denmark,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Mediocampista Derecho | Extremo Izquierdo,24,Bueno,Robert Skov
Preston North End ,England,Defensor Lateral Derecho,26,Bueno,Darnell Fisher
LASK Linz ,Austria,Defensor Extremo Derecho | Mediocampista Derecho | Extremo Derecho,28,Bueno,Reinhold Ranftl
Club Atlético Central Córdoba ,Argentina,Mediocampista Derecho | Mediocampista Central,28,Bueno,Marcelo Meli
Newell's Old Boys ,Argentina,Segundo Delantero,29,Bueno,Lucas Albertengo
Puebla ,Argentina,Segundo Delantero,32,Bueno,Cristian Menéndez
Santa Clara ,Brazil,Defensor Central,27,Bueno,César
Arsenal de Sarandí ,Argentina,Segundo Delantero,28,Bueno,Ezequiel Rescaldani
Vancouver Whitecaps FC ,Argentina,Defensor Central,26,Bueno,Erik Godoy
Newell's Old Boys ,Argentina,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,30,Bueno,Mariano Bíttolo
Cerezo Osaka ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,30,Bueno,Leandro Desábato
Club Atlético Tigre ,Argentina,Mediocampista Izquierdo | Centrocampista Ofensivo Central,26,Bueno,Juan Ignacio Cavallaro
Independiente del Valle ,Argentina,Defensor Central,34,Bueno,Pablo Alvarado
Atlanta United ,Argentina,Defensor Lateral Derecho | Defensor Central,30,Bueno,Fernando Meza
Patronato ,Argentina,Arquero,33,Bueno,Matías Ibáñez
Rosario Central ,Argentina,Segundo Delantero,31,Bueno,Claudio Riaño
Club Atlético Aldosivi ,Argentina,Defensor Lateral Izquierdo,25,Bueno,Lucas Villalba
Preston North End ,Wales,Defensor Lateral Izquierdo,28,Bueno,Andrew Hughes
Colo-Colo ,Chile,Mediocampista Central | Extremo Derecho,24,Bueno,Marcos Bolados
Atlético Tucumán ,Argentina,Segundo Delantero,28,Bueno,Leandro Díaz
CD Everton de Viña del Mar ,Argentina,Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,32,Bueno,Maximiliano Cerato
CD Everton de Viña del Mar ,Chile,Segundo Delantero | Extremo Izquierdo,31,Bueno,Patricio Rubio
Junior FC ,Colombia,Defensor Lateral Derecho,35,Bueno,Marlon Piedrahita
Once Caldas ,Colombia,Mediocampista Central,27,Bueno,Juan Rodríguez
Club Atlas ,Colombia,Mediocampista Derecho,27,Bueno,Mauricio Cuero
Deportivo Cali ,Colombia,Defensor Lateral Izquierdo,29,Bueno,Darwin Andrade
Club Atlético Huracán ,Paraguay,Arquero,36,Bueno,Antony Silva
Atlético Nacional ,Colombia,Mediocampista Izquierdo | Centrocampista Ofensivo Central | Extremo Izquierdo,31,Bueno,Vladimir Hernández
Colón de Santa Fe ,Colombia,Mediocampista Defensivo Central,27,Bueno,Guillermo Celis
Deportes Iquique ,Chile,Mediocampista Defensivo Central | Mediocampista Central,31,Bueno,Rafael Caroca
Deportes Tolima ,Colombia,Mediocampista Defensivo Central | Mediocampista Central,28,Bueno,Yeison Gordillo
Millonarios FC ,Colombia,Defensor Lateral Derecho,31,Bueno,Elvis Perlaza
Vancouver Whitecaps FC ,Peru,Segundo Delantero | Centrocampista Ofensivo Central | Extremo Derecho,26,Bueno,Yordy Reyna
Derby County ,United States,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,25,Bueno,Duane Holmes
RC Deportivo ,Spain,Mediocampista Derecho | Centrocampista Ofensivo Central,26,Bueno,Aketxe
Barnsley ,England,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Alex Mowatt
HJK Helsinki ,Finland,Mediocampista Defensivo Central | Mediocampista Izquierdo | Mediocampista Central,29,Bueno,Rasmus Schüller
SK Brann ,Costa Rica,Defensor Central | Mediocampista Defensivo Central,33,Bueno,Bismar Acosta
Chievo Verona ,France,Mediocampista Izquierdo | Centrocampista Ofensivo Central,25,Bueno,Hervin Ongenda
IFK Göteborg ,Sweden,Mediocampista Derecho | Extremo Derecho,25,Bueno,Hosam Aiesh
Vancouver Whitecaps FC ,Canada,Arquero,26,Bueno,Maxime Crépeau
Hammarby IF ,Gabon,Mediocampista Central,28,Bueno,Serge-Junior Martinsson Ngouali
Djurgårdens IF ,Sweden,Defensor Lateral Derecho | Defensor Central,26,Bueno,Jacob Une Larsson
Pachuca ,Mexico,Defensor Lateral Derecho,27,Bueno,Raúl López
Guadalajara ,Mexico,Mediocampista Derecho | Centrocampista Ofensivo Central,25,Bueno,Eduardo López
Toronto FC ,Canada,Mediocampista Defensivo Central | Mediocampista Izquierdo | Mediocampista Central,28,Bueno,Jonathan Osorio
Deportivo Toluca ,Argentina,Defensor Central,30,Bueno,Fernando Tobio
Al Ain FC ,Kazakhstan,Mediocampista Izquierdo | Centrocampista Ofensivo Central,27,Bueno,Bauyrzhan Islamkhan
FC Dallas ,Brazil,Defensor Lateral Derecho | Defensor Central,27,Bueno,Bressan
New York City FC ,Libya,Defensor Extremo Izquierdo | Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,26,Bueno,Ismael Tajouri-Shradi
Colorado Rapids ,United States,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Kellyn Acosta
Sporting Charleroi ,France,Defensor Lateral Izquierdo | Defensor Central,29,Bueno,Steeven Willems
CFR Cluj ,Romania,Segundo Delantero,29,Bueno,George ?ucudean
Impact Montréal ,Canada,Mediocampista Defensivo Central | Mediocampista Central,25,Bueno,Samuel Piette
Chicago Fire Soccer Club ,Costa Rica,Defensor Central,28,Bueno,Francisco Calvo
Nagoya Grampus ,Japan,Segundo Delantero,31,Bueno,Mu Kanazaki
SC Paderborn 07 ,Germany,Segundo Delantero | Mediocampista Izquierdo,30,Bueno,Sven Michel
FC Midtjylland ,Australia,Mediocampista Derecho | Extremo Derecho,24,Bueno,Awer Mabil
F.C. Tokyo ,Japan,Segundo Delantero,31,Bueno,Kensuke Nagai
Gangwon FC ,Korea Republic,Segundo Delantero | Centrocampista Ofensivo Central,29,Bueno,Kim Seung Dae
Hamburger SV ,Germany,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,24,Bueno,David Kinsombi
Nîmes Olympique ,France,Mediocampista Izquierdo | Extremo Izquierdo,32,Bueno,Romain Philippoteaux
Heart of Midlothian ,Scotland,Defensor Central,23,Muy Bueno,John Souttar
